ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"190.2.115.33","elite","AS27813","AR","Teledifusora S.A.","248","Teledifusora S.A","4153","socks4","512","1","2025-06-23T11:40:02.754Z","99","3313","3338"
"167.235.228.196","elite","AS24940","DE","Hetzner Online GmbH","61","Hetzner","8080","socks4","3325","1","2025-06-23T11:39:43.458Z","99","2247","2269"
"58.252.2.11","elite","AS17816","CN","CNC Group CHINA169 Guangdong Province Network","202","N/A","9999","socks4","502","64","2025-06-23T11:39:43.530Z","99","1348","1366"
"68.178.171.140","elite","AS26496","JP","GoDaddy.com, LLC","224","GoDaddy.com, LLC","26070","socks4","3599","1","2025-06-23T11:39:43.449Z","100","1950","1951"
"69.163.164.68","elite","AS26347","US","New Dream Network, LLC","146","New Dream Network, LLC","49538","socks4","690","1","2025-06-23T11:39:43.558Z","61","6122","10009"
"103.58.16.233","elite","AS134202","MY","E-world Communication SDN BHD","341","E-world Communication SDN BHD","4145","socks4","4092","1","2025-06-23T11:39:43.456Z","84","8434","10024"
"104.16.107.206","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks4","3768","1","2025-06-23T11:39:43.452Z","100","10104","10106"
"43.159.20.176","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","148","Aceville Pte.ltd","6001","socks4","4896","1","2025-06-23T11:39:43.441Z","100","1382","1382"
"173.88.141.173","elite","AS10796","US","Charter Communications","112","Spectrum","22921","socks4","1596","1","2025-06-23T11:39:43.459Z","100","3166","3176"
"213.109.235.89","elite","AS47702","UA","Teleradiocompany Discovery Ltd","38","Discovery LLC","4153","socks4","3279","1","2025-06-23T11:39:43.557Z","100","366","366"
"143.255.140.28","elite","AS61512","PY","GIG@NET SOCIEDAD ANONIMA","221","GIG@NET SOCIEDAD ANONIMA","5678","socks4","71","1","2025-06-23T11:39:43.446Z","80","1688","2097"
"146.19.106.183","elite","AS53363","CA","Tangram Canada Inc.","91","PQ HOSTING PLUS S.R.L","5429","socks4","4706","1","2025-06-23T11:39:43.444Z","96","2876","2998"
